dataset,Algorithm,lambda,MemoryKB,TimeMS,tour_length,Bends,AvgBendAngle,Accuracy%,accuracy,source_file
ei8246,hhi_greedy_basic_adapK,3,7608,12,264595,8236,117.79,0,0.779194618,experiment_summary_hhi_greedy_basic_adapK.csv
ja9847,hhi_greedy_basic_adapK,1.5,7608,9,778376,9764,115.43,0,0.631987626,experiment_summary_hhi_greedy_basic_adapK.csv
kz9976,hhi_greedy_basic_adapK,75,7608,7,1598191,9946,115.4,0,0.664427468,experiment_summary_hhi_greedy_basic_adapK.csv
mona-lisa100K,hhi_greedy_basic_adapK,2,7608,316,6886205,99958,119.61,0,0.836046995,experiment_summary_hhi_greedy_basic_adapK.csv
vm22775,hhi_greedy_basic_adapK,2.5,7608,23,859860,22364,117.49,0,0.66207057,experiment_summary_hhi_greedy_basic_adapK.csv
xql662,hhi_greedy_basic_adapK,2,7480,0,3268,655,135.87,0,0.768971848,experiment_summary_hhi_greedy_basic_adapK.csv
a20,greedy,0,3456,0,364,19,122.7,0,1.016483516,experiment_summary_greedy.csv
a280,greedy,0,3712,0,3157,276,145.77,0,0.234716503,experiment_summary_greedy.csv
ei8246,greedy,0,4052,283,257735,8238,117.94,0,0.799934041,experiment_summary_greedy.csv
ja9847,greedy,0,4364,369,665821,9801,120.67,0,0.738823197,experiment_summary_greedy.csv
kz9976,greedy,0,3968,448,1358249,9965,119.15,0,0.781802159,experiment_summary_greedy.csv
mona-lisa100K,greedy,0,5944,54028,6846598,99956,119.98,0,0.840883458,experiment_summary_greedy.csv
vm22775,greedy,0,4364,2017,707629,22563,120.14,0,0.804500663,experiment_summary_greedy.csv
xql662,greedy,0,3840,1,3124,654,133.77,0,0.804417414,experiment_summary_greedy.csv
a20,insertion,0,3456,0,335,19,149.87,0,1.104477612,experiment_summary_insertion.csv
a280,insertion,0,3712,25,3094,276,141.67,0,0.239495798,experiment_summary_insertion.csv
xql662,insertion,0,3712,312,3047,656,131.34,0,0.824745651,experiment_summary_insertion.csv
a20,held_karp,0,3712,0,332,19,126.75,0,1,experiment_summary_held_karp.csv
a20,MST,0,5944,0,364,19,122.7,0,1.016483516,experiment_summary_MST.csv
a280,MST,0,5944,0,3565,276,136.45,0,0.207854137,experiment_summary_MST.csv
ei8246,MST,0,5944,540,283353,8226,112.14,0,0.727611848,experiment_summary_MST.csv
ja9847,MST,0,6416,787,663700,9795,115.25,0,0.74118427,experiment_summary_MST.csv
kz9976,MST,0,5944,984,1457279,9952,113.8,0,0.728674468,experiment_summary_MST.csv
mona-lisa100K,MST,0,12556,106459,8322299,99683,103.91,0,0.691778918,experiment_summary_MST.csv
vm22775,MST,0,5944,3701,772233,22424,111.78,0,0.737197193,experiment_summary_MST.csv
xql662,MST,0,5944,3,3552,652,128.12,0,0.707488739,experiment_summary_MST.csv
a280,hhi_greedy,0,3712,0,3358,274,134.27,0,0.220667064,experiment_summary_hhi_greedy.csv
ei8246,hhi_greedy,2,4184,8,272100,8233,116.04,0,0.75770305,experiment_summary_hhi_greedy.csv
ja9847,hhi_greedy,5,4452,7,722206,9794,118.39,0,0.681140838,experiment_summary_hhi_greedy.csv
kz9976,hhi_greedy,3,4096,7,1527315,9952,114.57,0,0.695260637,experiment_summary_hhi_greedy.csv
mona-lisa100K,hhi_greedy,7,7168,286,6974799,99958,117.6,0,0.825427514,experiment_summary_hhi_greedy.csv
vm22775,hhi_greedy,7,4452,21,816223,22478,118.42,0,0.697466256,experiment_summary_hhi_greedy.csv
xql662,hhi_greedy,5,3840,0,3315,654,133.01,0,0.758069382,experiment_summary_hhi_greedy.csv
